s,pid,qid,passage,queries,relevancy,new
2659,402890,402890,ds means ds ds1 ds3 stands digital signal level designation used specify capacity digital line t-carrier system know popular t-carrier service t1another popular service t3in simple terms ds1 goes along t1 ds3 goes along t3f bundle 28 ds1 signals equivalent 672 ds0 voice channels get ds3 bandwidth signal 44736 mbps often referred 45 mbps t3 line carries ds3 signal coaxial cable although t3 service may also sent microwave mixing matching ds1 ds3,ds1 cable,1,0.0078445632089735
2812,411105,411105,osborn corner snohomish county wa populated place profile osborn corner gnis fid : 1511207 populated place located within city mill creek turn city mill creek located within snohomish county osborn corner located latitude 47878 longitude -122166 elevation osborn corner 443 feet mean sea level,osborn corner,1,0.0077095982724732
3023,425577,425577,grubhub history chicago-based grubhub founded 2004 mike evans matt maloney looking alternative paper menus two years later 2006 maloney evans first place university chicago booth school businesss edward l kaplan new venture challenge business plan grubhub,grubhub start,1,0.0075019244753196
3103,383930,383930,volume box = length * width * depth eg box 12 inches x 6 inches x 8 inches = 576 cubic inches note units volume cubic,calculate volume box,1,0.0074342146958864
3188,403748,403748,scores depth sitting performance home category hps website hp envy 15 tested 15-ae001na model comes 156-inch widescreen name suggests screen size means base fit traditional number pad right-hand side reduces portability,hp envy size,1,0.0073755081241364
3914,390478,390478,entirely different process used making type image lithograph high quality machine printed image made using 4 color separation process much like covers color magazine printed serigraph silk screened image serigraph original oil painting scanned separated digitally every color found original separate silk screen created every color scanned,serigraph,1,0.0068757089511719
4052,380873,380873,days daymond john best known impeccably dressed star investor reality show shark tank reputation -- millions -- first made co-founder chief executive sportswear maker fubu us us founded 1992 fubu became synonymous hip-hop glitz belied brand ’ humble beginnings john started sewing sweatshirts hats living room house raised single mom odds clothing line music loved became ubiquitous,fubu start,1,0.006794737876508
4163,409394,409394,bobtail may refer : 1 animal tail bobbed 2 wolf leader man-eating wolves paris 3 natural bobtail animal genetically short tail donggyeongi korean breed dog bobtail lizard skink species tiliqua 1 rugosa bobtail squid tractor unit pulling trailer,bobtail,1,0.0067311559412722
4201,403111,403111,expand increase volume contract decrease volume,contract expand mean,1,0.006709814233488
4370,384001,384001,monk : tony shalhoub traylor howard jason gray-stanford ted levine bitty schram emmy clarke hector elizondo kane ritchotte,cast monk,1,0.0066134520429092
4650,406189,406189,blackleg fatal disease young cattle sheep affects animal severe manner bacterium enters body ingestion food makes small punctures mucous membrane digestive tract,blackleg,1,0.0064642920416011
4754,401212,401212,millimeter unit length distance metric system symbol millimeter mm 10 millimeters centimeter international spelling unit millimetre centimeter unit length distance metric system,distance mm,1,0.0064136153785986
4989,377068,377068,definition clearinghouse 1 1 : establishment maintained banks settling mutual claims accounts 2 2 : central agency collection classification distribution especially information ; broadly : informal channel distributing information assistance,clearinghouse,1,0.0063134734229543
5089,400214,400214,shotgun generally smoothbore firearm means inside barrel rifled preceding smoothbore firearms musket widely used armies 18th century backpacker shotgun short barrel either full-size stock pistol grip depending legislation intended markets overall length weapons frequently less 90 cm 35 measuring less 63 cm 25,shotgun,1,0.0062621955550415
5147,395397,395397,grades nine twelve : 92 square feet per pupil note : actual area allocation grades nine twelve varies 915 square feet per pupil enrollment 2400 127 square feet per pupil enrollment 400,many square feet student need,1,0.0062362944316979
5966,410598,410598,sym forefront corporate environmental protection respectful welfare public mother earth protecting environment “ pollution prevention energy saving resource recycling environmental greening ” long term commitment towards advancing environmental management,sym,1,0.005917146364212
6585,416956,416956,colton lee haynes born july 13 1988 american actor model best known role jackson whittemore mtvs supernatural drama series teen wolf roy harperarsenal superhero television series arrow,colton haynes play arrow,1,0.0057103984586373
6698,376526,376526,hale : annual weather averages july hottest month hale average temperature 19°c 66°f coldest january -10°c 14°f,hale mi weather average temperature,1,0.0056789309094135
7275,417709,417709,united states agency international development usaid independent federal agency established foreign assistance act 1961 purpose extending economic assistance developing countries stated purpose support long-term equitable economic growth advance us foreign policy conflict prevention humanitarian assistance also might like,usaid,1,0.005507087547567
7312,382688,382688,petrarch 1304-1374 born francesco petracco ; changed petrarca ; also referred francis petrarch italian poet philosopher biographer one prominent influential poets world literature petrarch major figure humanist philosophy early italian renaissance,laura petrarch,1,0.005496601734807
7406,420034,420034,process improvement systematic approach problem solving related assessment analysis improvement organizational processes lean six sigma improvement methodology focuses continuously improving processes within organization ultimate pursuit perfection provides framework reduce variation strives eliminate waste,process improvement lean six sigma,1,0.0054704063358916
7733,406455,406455,increment small unspecified nonzero change value quantity symbol commonly used uppercase greek letter delta increment small unspecified nonzero change value quantity symbol commonly used uppercase greek letter delta concept applied extensively mathematical analysis calculus,increment,1,0.0053773536853075
8035,3124,3124,basic metabolic panel basic metabolic panel bmp set seven eight blood tests thatmeasure certain nutrients electrolytes essential basic body functions basic metabolic panel typically measures serum plasma levels sodium potassium chloride bicarbonate body bmp also used test electrolytes : blood urea nitrogen bun creatinine glucose check rule diabetes kidney disease,basic metabolic panel,1,0.0053025393288523
8118,406350,406350,mixture popular picks obscure interesting ones help decide plectrum pick plectrum generic label flat tools used strum pluck stringed instruments note correct plural plectrum plectra many still refer plectrums reduce confusion guitarists refer guitar plectrums guitar picks plectra featured comes various sizes shapes well check available sizes shapes fit needs,guitar plectrums,1,0.0052768035918924
8416,380422,380422,childrens household tales german : kinder- und hausmärchen collection fairy tales first published 20 december 1812 grimm brothers jacob wilhelm collection commonly known english grimms fairy tales,brothers grimm names,1,0.0052056803866149
8497,374300,374300,freebase000 0 votesrate definition : finderscope small auxiliary telescope mounted atop main astronomical telescope pointed direction finderscope usually much smaller magnification main telescope provide therefore see sky,finderscope,1,0.0051868249048637
9328,404748,404748,bruce adams guest : dwv stack height bruce according irc vent extend least 6 roof 6 anticipated snow accumulation needs reported vent needs extended accordingly properly installed flashing installed,tall vent stack,1,0.0050060102120157
9476,380579,380579,longshoreman also sometimes called harbor worker dock laborer primarily responsible loading unloading cargo docked ship longshoremen typically work teams systematically move sort shipping containers oil barrels cargo,whats longshoreman,1,0.0049762525581211
10339,408911,408911,cbs big bang theory one epic special delivery fans thursdays valentines day-themed episode : bernadette melissa rauch pregnant news revealed final scene episode comes quite bombshell diehard viewers geek-tastic comedy series chuck lorre bill prady steve molaro bernadette initially never wanted children,bernadette pregnant,1,0.0048216561114962
10538,428391,428391,hopalong cassidys horse named topper horse discovered ranch 1937 named topper wife actor played hopalong cassidy film television horse named topper book series thorne smith continue reading,hopalong cassidys horses name,1,0.0047865827626903
10616,407662,407662,medical definition phimosis plural phimoses -ˌsēzplay : tightness constriction orifice foreskin arising either congenitally postnatally balanoposthitis preventing retraction foreskin glans,phimosis medical definition,1,0.0047749166338643
12195,397184,397184,arbitron inc nyse : arb today announced media rating council® mrc granted accreditation tapscan web widely used web-based sales proposal analysis software system radio tapscan web used 19000 radio sales professionals facilitates half million proposals radio buyers per year arbitron long committed improving quality audience measurement sales solutions clients,average persons tapscan,1,0.0045287895398425
12395,383540,383540,disagree song recorded english singer-guitarist dave mason written jim krueger,wrote disagree original,1,0.0044980537182515
13041,375701,375701,gm identifies e85 ethanol flex-fuel vehicles flex fuel e85 badges yellow fuel-filler caps ford labels e85 ethanol flex-fuel models tree-and-road logo decal reading ffv flexible fuel vehicle chryslers dodges jeeps display silver flex fuel e85 tag e85 ethanol flex-fuel vehicles mercedes-benz nissan carry special identification,flex fuel jeep,1,0.0044055896343492
13447,190142,190142,also body ketosis ones breath may smell acetone due breakdown acetoacetic acid acetone carbon dioxide exhaled lungs acetone chemical responsible smell nail polish remover paint thinners,mean body ketosis,1,0.0043554064073807
13751,157032,157032,based list 16 swimming activities shown average calories burned average male weighing 190 pounds 86 kg 328 calories 30 minutes swimming average burnt average female weighing 163 pounds 74 kg 282 calories 30 minutes swimming,many calories burn swimming,1,0.0043139722694318
15032,409958,409958,wikipedia free encyclopedia emmett city pottawatomie county kansas united states 2010 census city population 191,county emmett ks,1,0.0041633201446811
16238,402051,402051,difference betadine iodine basically stems chemical nature iodine rare element usually exists diatomic molecule betadine complex chemical compound containing iodine complex form,betadine iodine,1,0.0040387506735045
17833,401728,401728,median value iron found fish salmon pink cooked dry heat 100g contains 045 mg iron corresponds 3 % recommended daily allowance serving amount calories 153 kcal amount protein 2458 g amount fat 528 g amount carbohydrate 0 g,much protein iron fish,1,0.0038880264193757
17902,181580,181580,vilazodone antidepressant group drugs called selective serotonin reuptake inhibitors ssris vilazodone used treat major depressive disorder mdd vilazodone may also used purposes listed medication guide,vilazodone ssri,1,0.003878941053934
18376,418139,418139,review available assessment questionnaires symptoms naegleria : 1 headache -- assessment questionnaire 2 fever -- assessment questionnaire 3 nausea -- assessment questionnaire 4 confusion -- assessment questionnaire 5 seizures -- assessment questionnaire 6 hallucinations -- assessment questionnaire,naegleria symptoms,1,0.0038416225220541
19263,425556,425556,south brevard sharing center inc sbsc founded 1971 non-profit community based agency whose mission support strengthen empower families achieve self-sufficiency south brevard county fl,sharing center,1,0.0037659932316885
19446,425136,425136,rohs training involves teaching employees rohs regulations correct testing rohs controlled substances ignorance considered viable excuse rohs non-compliance important learn rohs ensure company fully rohs compliant,rohs testing,1,0.0037521550182504
20152,424658,424658,house myrtlewood factory tour - coos bay - factory tours waymarkingcom quick description : one oldest largest factories making products rare myrtlewood tree oregon connection offers free self-guided tour close-up look process logs finished product,house myrtlewood,1,0.0036928788860523
20463,422854,422854,introduction overview lipids class molecules display wide diversity structure biological function primary role lipids cellular function formation permeability barrier cells subcellular organelles form lipid bilayer fig 1 although major lipid type defining bilayer almost membranes,role lipids cell,1,0.0036700796971478
20937,383859,383859,alcohol drug abuse use abuse drugs alcohol teens common serious consequences 15-24 year age range 50 % deaths accidents homicides suicides involve alcohol drug abuse drugs alcohol also contribute physical sexual aggression assault rape,causes drugs alcohol,1,0.0036356382835782
20964,378531,378531,brainhoney - welcome byu independent study ! byupilotbrainhoneycom welcome engl 44 : ninth-grade english 2 ! remember six months complete course,website brainhoney,1,0.0036341222905636
21766,372199,372199,teachers want administrators provide encouragement advice teachers appreciate honest accurate evaluations want encouraged things get difficult often need advice situations teachers want administrators understand classrooms entirely true especially great teachers want administrators know classroom proud teachers want administrators communicate clear expectations,teachers need administrators,1,0.0035733195339423
23660,5867,5867,euless texas euless ˈjuːlɪs yoo-liss city tarrant county texas united states suburb fort worth euless part mid-cities dallas fort worth population 51277 2010 census,euless texas county,1,0.0034522216700299
24041,424812,424812,airport runway length runway length provided longest world single one 4000 12100 ft airliners like airbus 380 becoming common runway dimensions may become standard longest qamdo bangda airport china 5800 18045 ft,length runway,1,0.0034266671343053
24963,401590,401590,meaning name sadie princess origin name sadie english culture name originated case word language name sadie originally nickname name sarah sadie hawkins musician singer sadie ama sarah louise delany known sadie civil rights activist sadie tanner mossell alexander first woman african american descent get phd,sadie nickname,1,0.0033713651445387
25218,401749,401749,developmental advising based belief relationship one academic advisor student differentially engage series developmental tasks successful completion results varying degrees learning parties,developmental advising,1,0.00335693326199
25748,409832,409832,brewhaha – celebration beer ! year brewhaha saturday march 5 ! two sessions : 1-4pm 6-9pm brewhaha celebration beer ! ’ opportunity taste sample best brewers chicagoland area,brewhaha,1,0.003326483845346
26215,418684,418684,since sen rand paul r-ky attacked friday weve found accused party next-door neighbor gated community bowling green ky neighbor rene boucher confirmed tackled paul,attacked rand paul,1,0.0033013495099233
26228,399041,399041,nitrocellulose cas no9004-70-0 minorder : 10 kilogram fob price : usd $ 1000-1000kilogram 1noble metal catalysts ptpd 2organic phosphine ligands tert-butyl-phosphinecyclohexyl-phosphine 3oled intermediates fluorenecarbazoleboric acid 4customs synthesis advantage : 1 higest quality,nitrocellulose cas number,1,0.0033008069239308
27485,393889,393889,going make gourmet meals edible maggots edible maggots found tropical rain forest region nigeria dying palm trees quite expensive must say stick grilled edible maggot “ odon ” sapele people delta state call 200 naira four five maggots skewer,nigerian maggot,1,0.0032344524802377
27826,380108,380108,mla format essays research papers introduction modern language association mla specifies standard format essays research papers written academic setting : one-inch page margins double-spaced paragraphs header authors last name page number one-half inch top page,type header use mla format,1,0.0032154148590195
28647,402975,402975,whereas smaller meat-eating dinosaurs would comparable todays larger birds closely related think something like eagle raven live 20-30 years would probably lifespan rex largest best-preserved rex field museum chicago thought lived almost 29 years although would achieved adult size 20 years sue 12 metres long head tail estimated weighed around seven tonnes underlining rapid growth rate dinosaurs relatively short lives,old rex live til,1,0.0031705842363792
29256,369219,369219,burando japanese reading word brand brand name products often used refer brand name fashion items within english-speaking japanese fashion community spelling generally used playful cases mocking otherwise simply referred brand,burando meaning,1,0.0031417212573042
29545,415619,415619,caustics corrosives cause tissue injury chemical reaction vast majority caustic chemicals acidic alkaline substances damage tissue accepting proton alkaline substance donating proton acidic substance aqueous solution,medical definition caustics,1,0.0031295078553724
29914,418701,418701,first part dated rat pack untrue briefly dated frank sinatra late 1940s allegedly went single date peter lawford dean martin marilyn good friendsand marilyn good friends wife jeanne married 1949,marilyn monroes friends,1,0.0031117204545489
30773,384960,384960,exists alternate us rapper eminem marshall mathers iii 42 years old birthdate : october 17 1972 + 2 others found useful,old eminem,1,0.00307065245844
31277,415008,415008,result campagnolo long history bikes riders teams using equipment winning prestigious events including three grand tours addition campagnolo directly involved sport offering sponsorship number teams riders competing road racing track cycling,campagnolo bikes,1,0.0030463622396149
31822,426825,426825,grandparents open 529 plans qualified tuition plans designed save money grandchildrens college costsin fact practice common savingforcollegecom notes hundreds thousands grandparents adopted practice opened 529 plans grandchildrenthe 529 vehicle provides grandparents way save important funds grandchildren account grandparents control manageultiple grandchildren multiple plans 529 plan one designated beneficiary preventing grandparents opening single 529 plan grandchildren however free open separate 529 plans grandchildren,grandparent open 529 plan grandchild,1,0.0030236333229073
32112,376737,376737,shingrix vaccine indicated prevention herpes zoster shingles adults aged 50 years older limitations use 1 : • shingrix indicated prevention primary varicella infection chickenpox -- -- -dosage administration -- -- - intramuscular administration,shingrix,1,0.0030107019623617
33978,385159,385159,much target employees make hour : december 2014 different hourly rates target employees include cashiers $ 865 team leaders $ 1535 sales floor team members $ 888 numbers averages actual pay-per-hour dependent number different variables including location experience continue reading,much target cashiers make,1,0.002932665178564
34853,381889,381889,example greek root hydra-means water ; found words hydrate anhydrate answer explanation : hydrate substance chemically combined water hydrates heated water boil completely waterless substance left end process anhydrate hydrate contains water anhydrate learn topic :,hydrate differ anhydrate,1,0.0028969665857016
35017,403166,403166,190 calories 1 bar 21 oz quest cookies cream protein bar youd need walk 50 minutes burn 190 calories visit calorieking see calorie count nutrient data portion sizes apps tools help support,many carbs quest bar,1,0.0028907651567743
35214,374459,374459,official version : literature review free unsystematic discussion literature relating matter contrast meta-review supposedly formal neutral analysis data contained literature matter supposedly best forms evidence question reality :,meta analysis vs literature review,1,0.0028832612467988
35259,201635,201635,+1 vote ! ron hubbard written 29 full novels well forty short fiction stories 2006 awarded guinness worlds record published works 1084 fiction non-fiction works translated 71 different languages add comment,many books l ron hubbard write,1,0.0028816450848144
35365,373531,373531,letters tnt dynamite stand kgb agent answer : letters tnt stand trinitrotoluene explosive yield tnt considered standard measure strength bombs explosives tags : trinitrotoluene bombs,letters tnt stand,1,0.0028777703156689
35530,372260,372260,nursing school youll learn history nursing plethora disease processes across lifespan pharmacology nursing skills nursing procedures talk patients therapeutic manner,learn nursing school,1,0.0028717221870616
35587,424770,424770,330 calories 1 taco serving chilis pork carnitas taco calorie breakdown : 52 % fat 21 % carbs 28 % protein,chilis pork carnitas calories,1,0.0028691951331301
35876,417783,417783,01:34 arabian nights opening song aladdin music alan menken lyrics howard ashman performed peddler singing voice late bruce adler howard ashman alan menken written several reprises ultimately cut final film,sings arabian nights aladdin,1,0.0028584678593424
36727,387732,387732,620 calories 1 sandwich serving publix 12 chicken tender sub sandwich calorie breakdown : 20 % fat 57 % carbs 23 % protein,many calories publix chicken tender subway,1,0.0028268435709916
36799,402940,402940,airport outfit - long sleeves chilly plane leggings stay comfortable cute flats theyre easy pack great style exceptional quality make perfect spring longchamp handbags webside,airport outfit,1,0.0028236916624802
37089,301569,301569,zone diet help shed excess pounds dramatically reduce risk chronic disease improve mental physical performance living longer fulfilling life zone diet fad diet life-long dietary program based strong science reduce diet-induced inflammation,zone diet work,1,0.0028127961779011
37113,372232,372232,ethan mark nestor né nestor-darling born october 24 1996 [ age 21 ] video game ethan mark nestor né nestor-darling born october 24 1996 [ age 21 ] video game commentator vlogger one markipliers current video editors frequently featured marks channel alongside tyler scheid apocalypto_12 close friend living near,ethan nestor age,1,0.0028117416941319
38296,374718,374718,vhf stands high frequency radio waves 30 mhz 300 mhz vhf radios provide two-way communication maximum range 60 nautical miles owning vhf radio vital marine safety much reliable mobile phones fastest link rescuing agencies like coastguard towing services harbourmaster,vhf system,1,0.0027693570615041
38674,414503,414503,least educated cities mo 2010-2014 total population perryville 8280 800 % 2000 population growth rate state average rate 774 % lower national average rate 1161 %,population perryville missouri,1,0.0027560632960264
38745,180748,180748,calculating calories thick 3-ounce slice roasted ham could upwards 230 calories trim away fat much possible cooking calorie count could go closer 180 calories regular cured deli ham provides 130 140 calories 3 ounces,many calories slice ham,1,0.0027533643173886
38942,410905,410905,improving number sense using number talks jo boaler et al 2014 well known mathematician professor mathematics education stanford university recently wrote article importance number sense article states : number sense foundation higher-level mathematics feikes schwingendorf 2008,jo boaler number sense,1,0.002747020567951
39224,404969,404969,green sticker adhesive sticker placed space- water-heating natural gas appliances licensed certified1 heating contractor green sticker verifies natural gas appliances properly derated adjusted safely burn natural gas altitude green sticker adjustment necessary green sticker adjustment necessary natural gas-fired furnaces water heaters utah need derated operate safely efficiently different altitudes,green sticker,1,0.0027376968253426
39693,405929,405929,bbb rating definition bond rating assigned investment grade debt instrument bbb rating reflects opinion issuer current capacity meet debt obligations faces solvency risk a-rated issue less bb-rated issue business financial economic conditions change measurably,bbb rating mean bond,1,0.0027223775780391
40085,424460,424460,: phone number redux inc 559 227-3204 q : big redux inc fresno ca : company approximately 1 person location generates estimated $ 113225 usd annual revenue q : redux inc located : redux inc located 3871 e sussex way fresno ca 93726 q : long redux inc fresno ca business : redux inc founded 2007 operating 11 years,redux phone number,1,0.0027102790063915
40433,416651,416651,flipping returns season nine two-part premiere wednesday july 13 10 pm thursday july 14 9 pm regular night time bravo e ! bravo part nbcuniversal family,flipping next season,1,0.0026993482222347
41077,408629,408629,bitten copperhead 1981 foot bite immed started swelling lots pain like super bee sting doesnt stop next feeling throwing went er area around bite fangs turning blue red 50 cent piece er tested anivemon arm swelling way thigh,copperhead snake bite effects,1,0.0026782466027853
41187,8194,8194,commonly called “ spectator stools ” actual size vary somewhat bar stools ranging 29 31 inches counter stools ranging 24 26 inches standard sizes stools special ordered sizes 24 inches 37 inches tall,sizes bar stools come,1,0.0026746005176269
41665,420279,420279,plum pudding model plum pudding model model atomic structure proposed jj thomson late 19th century thomson discovered atoms composite objects made pieces positive negative charge negatively charged electrons within atom small compared entire atom therefore proposed atoms structure similar plum pudding tiny negatively charged electrons embedded positively charged substrate later shown incorrect close window,made plum pudding model,1,0.0026591808932274
41902,396724,396724,september 2014 states enacted breed-specific laws bsls banning pit bulls however 700 us cities 40 states enacted bans additionally appellate courts 12 states upheld constitutionality breed-specific pit bull laws including arkansas colorado florida iowa kansas kentucky new mexico ohio utah washington west virginia wisconsin washington dc continue reading,cities allow pit bulls,1,0.0026511765452959
43171,64986,64986,bmw history bmw brand synonymous luxury automobiles value bmw car prices start $ 30025 $ 103225 entry-level 1 series top-of-the-line m6 model represent cheapest expensive bmw models respectively since 1916 company known bmw today held several different names owned several automotive brands,much bmw car,1,0.0026118042133958
44378,423784,423784,base tongue subsite within oropharynx bounded anterosuperiorly circumvallate papilla posterior aspect oral cavity inferoposteriorly vallecula lingual surface epiglottis laterally glossoepiglottic folds,base tongue,1,0.0025775167728608
44952,373961,373961,debt collector may file lawsuit ignore calls letters ignore lawsuit could lead judgment collection agency may able garnish wages go funds bank account learn creditor lawsuits end ’ almost always better focus settling debt disputing validity depending situation rather ignoring debt collectors calls letters,happens ignore collections agency,1,0.0025615261912497
45106,35165,35165,move excavate dirt build dig pond expect pay roughly $ 250 per cubic yard material dug pond figure $ 150 - 350 per yard material depending difficulty excavation costs specific local market conditions,cost dig pond,1,0.0025577962365013
45856,387537,387537,divide count thread gaps length five threads gaps 1-inch length thread pitch 200 inch example 1 inch 5 thread gaps = 200 inch 200 inch thread screw tpi 5,find threads per inch metric bolt,1,0.0025377239867761
46293,425833,425833,1 first audi rs model released 1994 launch rs2 avant 2 audi rs brand trace roots back 1983 beginning audis quattro tuning arm3 rs sub-brand continues thrive audi rightly following launch s6 1996 audi followed rs4 avant 2000 2 cosworth heavily involved production rs4 avant tuning 27-litre v6 give 375bhp 3 2002 audi introduced rs6 came saloon avant body styles,first audi rs4 come 1994 model,1,0.0025260060228027
46506,86578,86578,yes denzel washington oscar best actor role training day 2001 also received following academy award nominations wins,oscars denzel washington,1,0.0025198950901136
46759,409835,409835,name comes greek words akron end stikhos line verse name implies acrostics often pieces verse hidden message formed either first last letter line sometimes ends line contain message - known double acrostic,double acrostic puzzle,1,0.0025139778123361
48303,420628,420628,bus size typically school bus dimensions would particular measurements : 95 11 ft height around 8 ft width length ranging measurements 12 ft 40 ft,height bus,1,0.0024743838486621
48498,491110,491110,uses see secession disambiguation secession derived latin term secessio withdrawal group larger entity especially political entity country also organization union military alliance threats secession also strategy achieving limited goals,secession,1,0.0024698113165134
48534,384189,384189,28 35 _______ disparity refers slightly different view world eye receives binocular cyclopean monocular trichromatic _______ disparity refers slightly different view world eye receives binocular,________ disparity refers slightly different view world eye receivescyclopeanbinocularmonoculartrichromatic,1,0.0024689491031617
49158,370961,370961,senior dogs aches pains buffered aspirin ; dosage approximately quarter 325 milligram tablet per 10 pounds may help relax dog enough get good night ’ sleep one dose morning one evening may make pet much happier comfortable,help dogs sleep,1,0.0024525915828078
49873,392993,392993,shawshank redemption 1994 netflix two imprisoned men bond number years finding solace eventual redemption acts common decency,shawshank redemption netflix,1,0.0024352844505298
50073,374462,374462,mimo multiple input multiple output antenna technology wireless communications multiple antennas used source transmitter destination receiver antennas end communications circuit combined minimize errors optimize data speed,mimo receiver,1,0.0024311919214368
51875,87140,87140,dissolvable stitches commonly made polyglactin polyglycoid likely loosen within four weeks dissolve four months post-surgery kind stitches dissolved either natural enzyme body tissues process hydrolysis inside body,long dissolvable stitches take,1,0.002389289292893
52071,237582,237582,interest rapidly building upcoming total solar eclipse usa august 21 2017 became curious rarity total eclipses america first total eclipse witnessed march 7 1970,years total eclipses past,1,0.0023844759238097
52128,424083,424083,ribosomes essential cellular organelles carrying protein synthesis basic design fundamentally conserved three kingdoms life archaea bacteria eukarya nevertheless ribosomal features specific kingdom,bacteria cells ribosomes,1,0.0023829961429515
52436,386915,386915,typical 24-by-24 feet garage cost $ 35 $ 45 per square foot gives basic range $ 20160 upwards $ 25920keep mind extras higher quality materials add much $ 10 per square foot requested contractor typical 24-by-24 feet garage cost $ 35 $ 45 per square foot gives basic range $ 20160 upwards $ 25920,much would 24x24 garage cost,1,0.0023749987048336
53882,421322,421322,july 2013 learn remove template message learn remove template message on-base plus slugging ops sabermetric baseball statistic calculated sum players on-base percentage slugging average,ops stat baseball,1,0.002341879792263
53917,373407,373407,sibs stand sibs stands silverlake integrated banking system q : : abbreviate silverlake integrated banking system silverlake integrated banking system abbreviated sibs q : : meaning sibs abbreviation meaning sibs abbreviation silverlake integrated banking system q : : sibs abbreviation one definitions sibs silverlake integrated banking system q : : sibs mean sibs abbreviation means silverlake integrated banking system q : : shorthand silverlake integrated banking system common shorthand silverlake integrated banking system sibs,sibs stand,1,0.002341154042999
54592,378088,378088,prize money prize money tournament record high £1800000 total winners prize money increased £350000 £400000,prize money women eu ski,1,0.0023263695224273
54663,414294,414294,new hope alabama new hope city madison county alabama united states included huntsville-decatur combined statistical area 2010 census population 2810,new hope alabama,1,0.002324616003509
55120,163177,163177,3-ounce serving mahi mahi 93 calories almost come 202 grams protein contains mahi mahi isnt significant source carbohydrates contains 08 grams fat per serving use oil grill mahi mahi increase fat calorie content example teaspoon olive oil contains 40 calories 45 grams fat,many calories mahi mahi,1,0.0023152282716659
56260,399105,399105,q disabled refuge system evcs emergency voice communication system fixed monitored maintained bidirectional full duplex voice communication system assist orderly evacuation disabled mobility impaired people enhance fire fighters communication emergencies disabled refuge system evcs emergency voice communication system fixed monitored maintained bidirectional full duplex voice communication system assist orderly evacuation disabled mobility impaired people enhance fire fighters communication emergencies,voice communication system,1,0.0022912861351226
